Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
Wit Studio;13;8.231;355;166;1016797;7530;5.42905E+11
8bit;24;8.201;396;265;785553;13619;4.23829E+11
Brain's Base;13;8.121;495;2117;106764;618;3923539235
Drive;20;8.091;537;875;301816;1632;1.13327E+11
Studio 4°C;13;7.901;826;3413;47300;360;2040320403
Pierrot;24;7.861;897;2192;102329;1089;3056330563
Sunrise;12;7.851;921;1486;170210;1711;8497884978
Bandai Namco Pictures;21;7.821;981;1213;213315;1299;9212192121
Atelier Pontdarc;13;7.771;1106;646;389320;2168;1.7823E+11
8bit;12;7.641;1461;4550;26816;112;74727472
studio MOTHER;12;7.591;1608;705;359574;4085;1.91665E+11
P.A. Works;12;7.581;1644;1442;174638;1146;7126971269
Bandai Namco Pictures;13;7.541;1803;2121;106641;727;3848538485
Kamikaze Douga;11;7.521;1877;3417;47251;148;1676616766
White Fox;28;7.521;1897;3755;40004;189;80988098
C2C;12;7.511;1905;855;305790;1788;1.49814E+11
PINE JAM;12;7.451;2172;2010;115535;631;4375643756
TMS Entertainment;25;7.411;2331;4466;27815;148;95309530
David Production;23;7.411;2328;1333;191595;1235;5155751557
ENGI;13;7.251;3122;1107;234798;928;8890988909
Maho Film;12;7.211;3321;1314;194839;1092;9347493474
Studio PuYUKAI;30;7.181;3456;5717;15146;107;46754675
Studio Flad;11;7.141;3668;3761;39835;131;1546915469
Yostar Pictures;8;7.081;3982;2034;113890;1081;3942939429
EMT Squared;13;6.921;4758;1185;218650;1082;1.07316E+11
Madhouse;12;6.871;4999;2544;80359;475;2861928619
TMS Entertainment;12;6.871;4996;5842;14301;41;62066206
Toei Animation;45;6.861;5031;6465;11064;121;34183418
Toei Animation;67;6.741;5669;4694;24779;165;72627262
Zexcs;50;6.741;5680;7853;6857;36;15791579
LIDENFILMS;13;6.731;5710;4565;26612;58;77337733
Passione;12;6.701;5911;1544;162665;821;6190661906
DLE;12;6.701;5931;6728;10104;25;38623862
ENGI;12;6.621;6405;2635;75567;225;3072530725
TNK;12;6.551;6801;1944;119885;511;4341743417
LIDENFILMS;24;6.551;6798;5804;14592;71;23692369
OLM;15;6.551;6765;9038;4795;16;13681368
Yumeta Company;12;6.521;6952;5210;19311;65;61196119
ENGI;8;6.261;8492;3183;53781;224;59635963
LIDENFILMS;16;6.091;9482;8580;5555;18;13341334
TROYCA;12;6.061;9615;1406;179556;710;6347963479
Studio A-CAT;12;5.961;10097;1619;153165;472;5961259612
NAZ;24;5.631;11688;2973;61577;172;1723317233
Graphinica;12;5.471;12191;4991;21462;70;58325832
PRA;13;5.441;12281;7704;7194;31;12431243
Akatsuki;4;5.421;12356;4104;33355;164;1121211212
EKACHI EPILKA;12;5.011;13193;4890;22458;71;72077207
MAPPA;24;8.811;32;298;715626;17161;3.88818E+11
Bones;13;8.431;176;798;322579;3345;1.28423E+11
