jp_title;char_name;fav;img
Hataraku Saibou Black;Sekkekkyuu AA2153  (赤血球 AA2153);45;https://cdn.myanimelist.net/images/characters/7/435444.jpg
Hataraku Saibou Black;Sekkekkyuu AC1677  (赤血球 AC1677);17;https://cdn.myanimelist.net/images/characters/8/424239.jpg
Hataraku Saibou Black;Kesshouban  (血小板);6;https://cdn.myanimelist.net/images/characters/16/430601.jpg
Hataraku Saibou Black;Kan Saibou  (肝細胞);6;https://cdn.myanimelist.net/images/characters/16/424238.jpg
Hataraku Saibou Black;Hakkekkyuu 1212  (白血球 1212);4;https://cdn.myanimelist.net/images/characters/7/424235.jpg
Hataraku Saibou Black;Nou Saibou  (脳細胞［司令］);4;https://cdn.myanimelist.net/images/characters/11/437823.jpg
Hataraku Saibou Black;Narrator  (ナレーション);4;
Hataraku Saibou Black;Macrophage  (マクロファージ);3;https://cdn.myanimelist.net/images/characters/4/458047.jpg
Hataraku Saibou Black;Hakkekkyuu 8787  (白血球 8787);2;https://cdn.myanimelist.net/images/characters/7/424236.jpg
World Trigger 2nd Season;Yuuma Kuga (空閑 遊真);1277;https://cdn.myanimelist.net/images/characters/12/325835.jpg
World Trigger 2nd Season;Yuuichi Jin (迅 悠一);583;https://cdn.myanimelist.net/images/characters/6/268547.jpg
World Trigger 2nd Season;Osamu Mikumo (三雲 修);314;https://cdn.myanimelist.net/images/characters/16/264753.jpg
World Trigger 2nd Season;Chika Amatori (雨取 千佳);123;https://cdn.myanimelist.net/images/characters/10/294718.jpg
World Trigger 2nd Season;Kirie Konami (小南 桐絵);251;https://cdn.myanimelist.net/images/characters/8/434738.jpg
World Trigger 2nd Season;Hyuse  (ヒュース);239;https://cdn.myanimelist.net/images/characters/3/311591.jpg
World Trigger 2nd Season;Youtarou Rindou (林藤 陽太郎);156;https://cdn.myanimelist.net/images/characters/5/270061.jpg
